Segment,Mapping,Annual_Salary,Gender,Education,Living_Region,Age,Online_Consumer,Online_Service_Preference,AI_Endorsement,AI_Privacy_No_Trust ,AI_Enhance_Experience,AI_Satisfication,AI_Tools_Used _Chatbots,AI_Tools_Used_Virtual_Assistant,AI_Tools_Used_Voice&Photo_Search,Number of AI Tools Used,Payment_Method_Credit/Debit,Payment_Method_COD,Payment_Method_Ewallet,Number of Payment Methods Used,Product_Category_Appliances,Product_Category_Electronics,Product_Category_Groceries,Product_Category_Personal_Care,Product_Category_Clothing,Review Rating,Frequency of Purchases (Days),Previous Purchases,Purchase Amount,AI_Tools Applied,Item Purchased,Category,Size,Color,Season,Shipping Type,Frequency of Purchases
Female_Baby Boomers_Metropolitan_High,Female_Baby Boomers,High,Female,University Graduate,Metropolitan,Baby Boomers,1,0,1,0,1,1,1,0,1,2,0,0,1,1,1,1,0,0,1,4,14,12,110,Yes,Dress,Clothing,M,White,Fall,2-Day Shipping,Bi-Weekly
Female_Baby Boomers_Metropolitan_Medium High,Female_Baby Boomers,Medium High,Female,Highschool Graduate,Metropolitan,Baby Boomers,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,4.1,90,17,150,Yes,Belt,Accessories,S,Beige,Fall,2-Day Shipping,Quarterly
Female_Baby Boomers_Suburban Areas_High,Female_Baby Boomers,High,Female,Highschool Graduate,Suburban Areas,Baby Boomers,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,4.3,14,14,99,Yes,Sunglasses,Accessories,L,Blue,Winter,Express,Fortnightly
Female_Baby Boomers_Metropolitan_High,Female_Baby Boomers,High,Female,University Graduate,Metropolitan,Baby Boomers,1,1,1,1,1,1,1,1,1,3,0,0,1,1,0,1,1,1,1,4.1,90,33,51,Yes,Skirt,Clothing,S,Brown,Fall,Standard,Quarterly
Female_Baby Boomers_Metropolitan_High,Female_Baby Boomers,High,Female,University Graduate,Metropolitan,Baby Boomers,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,4.8,30,13,126,Yes,Handbag,Accessories,L,Beige,Summer,Next Day Air,Monthly
Female_Baby Boomers_Rural Areas_High,Female_Baby Boomers,High,Female,University Graduate,Rural Areas,Baby Boomers,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,3.1,14,38,120,Yes,Pants,Clothing,M,Violet,Winter,Standard,Bi-Weekly
Female_Baby Boomers_Metropolitan_High,Female_Baby Boomers,High,Female,University Graduate,Metropolitan,Baby Boomers,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,4.5,90,48,102,Yes,Scarf,Accessories,XL,Lavender,Winter,2-Day Shipping,Every 3 Months
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,Masters? Degree,Metropolitan,Gen X,1,0,1,1,1,1,1,1,1,3,0,1,0,1,1,1,1,1,1,4,30,6,64.5,Yes,Shorts,Clothing,L,Olive,Spring,Next Day Air,Monthly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Doctorate Degree,Metropolitan,Gen X,1,1,1,1,1,1,1,1,0,2,1,0,0,1,0,1,0,0,1,4,14,50,58.5,Yes,Blouse,Clothing,L,Purple,Spring,Standard,Bi-Weekly
Female_Gen X_Metropolitan_Low,Female_Gen X,Low,Female,Highschool Graduate,Metropolitan,Gen X,1,0,1,1,1,1,0,0,1,1,1,1,0,2,0,0,0,0,1,4,14,39,75,Yes,Shirt,Clothing,S,Maroon,Summer,2-Day Shipping,Bi-Weekly
